"pos";"user_name";"country";"car";"car_code";"stage_pos";"stagename";"time1";"time2";"time3";"timediff";"penalty";"finishrealtime";"restarts";"trackprogress";"weathercode";"tyrescode";"damagecode";"comment";
1;KARCZ Sebastian;PL;Ford Focus RS WRC 06;259;0;Przed Brod I (New Bobs);89.6553;198.109;289.975;0;0;1372267757;0;100;0;3;3;;
2;SZYMONIAK Piotr;PL;Ford Focus RS WRC 06;259;0;Przed Brod I (New Bobs);91.359;200.716;293.924;3.949;0;1372792184;0;100;0;3;3;witam;
3;KAPICA Dawid;PL;Ford Focus RS WRC 06;259;0;Przed Brod I (New Bobs);91.1964;200.457;294.094;4.119;0;1372423577;0;100;0;3;3;witam, dobry poczatek;
4;LIZAKOWSKI Pawel;PL;Ford Focus RS WRC 06;259;0;Przed Brod I (New Bobs);92.3041;202.739;296.228;6.253;0;1372756755;0;100;0;3;3;czesc. kompletny brak wyczucia;
5;ROKITA Michal;PL;Citroen C4 WRC 08;278;0;Przed Brod I (New Bobs);91.751;202.34;296.95;6.975;0;1372668863;0;100;0;3;3;;
6;GORALIK  Lukasz;PL;Ford Focus RS WRC 06;259;0;Przed Brod I (New Bobs);93.6412;205.624;299.609;9.634;0;1372335915;0;100;0;3;3;;
7;KIEROWCA Testowy;PL;Ford Focus RS WRC 06;259;0;Przed Brod I (New Bobs);92.0748;204.978;300.914;10.939;0;1372353109;0;100;0;3;3;;
8;CHOROBIK Dawid;PL;Ford Focus RS WRC 06;259;0;Przed Brod I (New Bobs);94.2415;207.048;301.909;11.934;0;1372792702;0;100;0;3;3;czesc wszystkim, prze lipny przejazd;
9;Hubert KLOC;PL;Ford Focus RS WRC 06;259;0;Przed Brod I (New Bobs);91.492;202.592;302.264;12.289;0;1372709424;0;100;0;3;3;glupie 10sek. na bledach, ehhhh;
10;WALCZAK Piotr;PL;Citroen C4 WRC 08;278;0;Przed Brod I (New Bobs);94.1803;206.66;302.788;12.813;0;1372525118;0;100;0;3;3;;
11;GLEIXNER Maciek;PL;Citroen C4 WRC 08;278;0;Przed Brod I (New Bobs);93.7456;207.522;302.883;12.908;0;1372410083;0;100;0;3;3;;
12;WIECZOREK Dawid;PL;Citroen C4 WRC 08;278;0;Przed Brod I (New Bobs);94.1312;208.754;303.93;13.955;0;1372711325;0;100;0;3;3;;
13;POCZWARDOWSKI Hubert;PL;Citroen C4 WRC 08;278;0;Przed Brod I (New Bobs);93.2982;207.402;304.098;14.123;0;1372789020;0;100;0;3;3;;
