"username";"country";"car_name";"car_class_name";"team_name";"nom";
KAPICA Dawid;PL;Ford Focus RS WRC 06;WRC;RK M-Sport WRT;N;
USS Maciek;PL;Lada Kalina R2;A6;AUTOMOBILKLUB POLSKI WRT;N;
Piotr Banaszek;PL;Lada Samara 1400;A5;Sudety VRT;Y;
SOMPOLSKI Mateusz;PL;Mitsubishi Lancer Evo 9;N4;AUTOMOBILKLUB POLSKI WRT;N;
TALAGA Wojciech;PL;Skoda Fabia WRC 06;WRC;AUTOMOBILKLUB POLSKI WRT;Y;
MASIAREK Jakub;PL;Peugeot 207 S2000;S2000;RS Team;Y;
Mateusz Rucinski;PL;Peugeot 106 Rallye A5;A5;AUTOMOBILKLUB POLSKI WRT;N;
KRUSZ Piotr;PL;Ford Fiesta Mk.VI S2000;S2000;Killaz Motorsport;Y;
STUCHLIK Marek;PL;Peugeot 106 Rallye A5;A5;RS Team;Y;
KUDLA Mateusz;PL;Suzuki Ignis S1600;S1600;R-EVOLUTION Team;Y;
SITEK Maksymilian;PL;Ford Fiesta S1600;S1600;RS Team;Y;
KWASNIOWSKI Leszek;PL;Peugeot 106 Rallye A5;A5;RallyJedlina RBR Team;Y;
MAJERSKI Mateusz;PL;Peugeot 207 S2000;S2000;Team VRS;N;
PIEKARSKI Andrzej;PL;Mitsubishi Lancer Evo 9;N4;RSMP.pl PCH Fighters Junior;N;
PUZIO Adrian;PL;Peugeot 106 Rallye A5;A5;;N;
OLEK LALIK;PL;Peugeot 207 S2000;S2000;;N;
GORALIK  Lukasz;PL;Ford Focus RS WRC 06;WRC;Play-Max.pl Rally Team;N;
RAJEWSKI Tomasz;PL;Subaru Impreza N12;N4;AUTOMOBILKLUB POLSKI WRT;Y;
SWIECH Pawel;PL;Ford Focus RS WRC 06;WRC;;N;
BORTEL Grzegorz;PL;Mitsubishi Lancer Evo 9;N4;Sudety VRT;Y;
KIEROWCA Testowy;PL;Ford Focus RS WRC 06;WRC;;N;
BUCZKOWSKI Tomasz;PL;Peugeot 106 Rallye A5;A5;RS Team;Y;
BADKOWSKI Filip;PL;Peugeot 207 S2000;S2000;RallyJedlina RBR Team;Y;
Rudy;PL;Peugeot 207 S2000;S2000;Sudety VRT;Y;
JAKUBCZYK Dariusz;PL;Subaru Impreza N14;N4;AUTOMOBILKLUB POLSKI WRT;Y;
WIECZOREK Dawid;PL;Citroen C4 WRC 08;WRC;RS Team;Y;
KUBICKI Pawel;PL;Ford Focus RS WRC 06;WRC;RS Team;N;
WYSOCKI Adam;PL;Peugeot 106 Rallye A5;A5;Killaz Motorsport;N;
LECKI Ariel;PL;Skoda Fabia S2000 evo2;S2000;RS Team;N;
ŻUBEREK Kuba;PL;Ford Fiesta Mk.VI S2000;S2000;2FAST 4U VRT;N;
GLEIXNER Maciek;PL;Citroen C4 WRC 08;WRC;Killaz Motorsport;Y;
N0WAK Marcin;PL;Citroen C2 S1600;S1600;;N;
Hubert KLOC;PL;Ford Focus RS WRC 06;WRC;Team VRS;N;
Marcin KOLOBIUS;PL;Subaru Impreza N14;N4;BlueArrows Rally Team;Y;
WEYCHERT Wojciech;PL;Peugeot 207 S2000;S2000;R-EVOLUTION Team;Y;
BURCZYNSKI Radek;PL;Subaru Impreza N14;N4;Killaz Motorsport;N;
Tomulus;PL;Subaru Impreza WRC 08;WRC;Forum Subaru Virtual Rally Team;N;
DOMANUS Mariusz;PL;Peugeot 106 Rallye A5;A5;Beskidy Virtual Rally Team;Y;
KAJZAR Slawomir;PL;Ford Fiesta S1600;S1600;RS Team;N;
KALETA Marcin;PL;Volkswagen Polo S1600;S1600;BlueArrows Rally Team;Y;
SOBIERAJ Tomasz;PL;Subaru Impreza N14 URT;N4;Rookie Rally Team;Y;
WEZOWSKI Marek;PL;Subaru Impreza N14;N4;Sudety VRT;Y;
KORALEWSKI Mateusz;PL;Subaru Impreza N14;N4;Forum Subaru Virtual Rally Team;N;
KAPICA Wojciech;PL;Subaru Impreza WRC 08;WRC;Forum Subaru Virtual Rally Team;N;
BURCZYNSKI Arek;PL;Ford Focus RS WRC 06;WRC;Killaz Motorsport;N;
RUBAJCZYK Michal;PL;Ford Fiesta S1600;S1600;RS Team;Y;
SIEKANSKI Andrzej;PL;Peugeot 205 GTi gr.A6;A6;Rookie Rally Team;Y;
ROZANSKI Damian;PL;Subaru Impreza N14;N4;RS Team;Y;
KARCZ Sebastian;PL;Ford Focus RS WRC 06;WRC;Poland Virtual Rally Team;Y;
KLIMAS Adrian;PL;Skoda Fabia S2000 evo2;S2000;AUTOMOBILKLUB POLSKI WRT;Y;
SNAJ Per;PL;Subaru Impreza 2000;WRC;RS Team;N;
Gaponik Tomasz;PL;Subaru Impreza N14;N4;Forum Subaru Virtual Rally Team;N;
WALCZAK Sylwester;PL;Ford Focus RS WRC 06;WRC;;N;
ELZBIECIAK Mateusz;PL;Lada Kalina R2;A6;BlueArrows Rally Team;Y;
szirer;PL;Suzuki SX4 WRC;WRC;BlueArrows Rally Team;Y;
Szopa Rafal;PL;Skoda Fabia S2000 evo2;S2000;BlueArrows Rally Team;Y;
Klimczak Robert;PL;Suzuki Ignis S1600;S1600;2FAST 4U VRT;N;
KUROWSKI arko;PL;Skoda Fabia S2000 evo2;S2000;;N;
GINTER Marcin;PL;Subaru Impreza N14;N4;Poland Virtual Rally Team;Y;
MALCZEWSKI Piotr;PL;Opel Corsa S1600;S1600;Play-Max.pl Rally Team;N;
Jakub Marnik;PL;Citroen C4 WRC 08;WRC;Sudety VRT;Y;
CHRASCINA Mariusz;PL;Subaru Impreza N14;N4;RS Team;N;
BARTOS Rafal;PL;Lada Kalina R2;A6;RS Team;Y;
Maciej Mynarski;PL;Mitsubishi Lancer Evo 9;N4;Sudety VRT;N;
NASIADKO Pawel;PL;Subaru Impreza N14 URT;N4;Forum Subaru Virtual Rally Team;N;
ROKITA Michal;PL;Citroen C4 WRC 08;WRC;RS Team;Y;
SARABURA Lukasz;PL;Lada Kalina R2;A6;RSMP.pl PCH Fighters Junior;Y;
PIEDA Dariusz;PL;Zastava Yugo A5;A5;RS Team;N;
HOFMAN Bartosz;PL;Skoda Fabia S2000 evo2;S2000;Team VRS;N;
Mateusz Bielecki;PL;Subaru Impreza N14;N4;RS Team;Y;
BUCZEK Lukas;PL;Lada Kalina R2;A6;Play-Max.pl Rally Team;N;
RYBCZYK Tomasz;PL;Lada Kalina R2;A6;AUTOMOBILKLUB POLSKI WRT;Y;
GWIZDZ Marcin;PL;Subaru Impreza N14;N4;RSMP.pl PCH Fighters Junior;Y;
WALEWSKI Bartosz;PL;Lada Kalina R2;A6;Play-Max.pl Rally Team;Y;
Julian Antoniewicz;PL;Peugeot 106 Rallye A5;A5;RSMP.pl PCH Fighters Junior;Y;
MYSLIWIEC Robert;PL;Subaru Impreza N14;N4;;N;
RUDZINSKI Pawel;PL;Peugeot 106 Rallye A5;A5;Play-Max.pl Rally Team;Y;
speedaw;PL;Fiat Punto S1600;S1600;;N;
Bartek Meka;PL;Lada Kalina R2;A6;RSMP.pl PCH Fighters Junior;Y;
Jan Wygachiewicz;PL;Peugeot 207 S2000;S2000;2FAST 4U VRT;N;
Adrian Starnberger;PL;Lada Kalina R2;A6;Team VRS;N;
RZEMIENIEWSKI Bartosz;PL;Skoda Fabia S2000 evo2;S2000;RS Team;N;
WACH Tomek;PL;Peugeot 207 S2000;S2000;;N;
KuRcZaK;PL;Peugeot 207 S2000;S2000;;N;
ZYZAK Damian;PL;Skoda Fabia S2000 evo2;S2000;Sudety VRT;N;
Mariusz Fober;PL;Ford Fiesta Mk.VI S2000;S2000;Rookie Rally Team;Y;
Mariusz Cichocki;PL;Ford Fiesta Mk.VI S2000;S2000;;N;
FIOLEK Jakub;PL;Subaru Impreza N14;N4;Sudety VRT;N;
Michael KOWALCZYK sr;PL;Peugeot 106 Rallye A5;A5;AUTOMOBILKLUB POLSKI WRT;N;
Damian HRYNIEWICZ;PL;Citroen C4 WRC 08;WRC;AUTOMOBILKLUB POLSKI WRT;N;
Tomasz Piszczek;PL;Peugeot 205 GTi gr.A6;A6;Team VRS;N;
PIWINSKI Szymon;PL;Peugeot 106 Rallye A5;A5;Killaz Motorsport;Y;
WOJTCZAK Daniel;PL;Ford Fiesta S1600;S1600;AUTOMOBILKLUB POLSKI WRT;Y;
KNAP Kamil;PL;Lada Kalina R2;A6;AUTOMOBILKLUB POLSKI WRT;N;
CHOROBIK Dawid;PL;Ford Focus RS WRC 06;WRC;Poland Virtual Rally Team;Y;
FRAJDA Daniel;PL;Subaru Impreza N14;N4;Killaz Motorsport;Y;
Pawel Ciezkowski;PL;Ford Focus RS WRC 06;WRC;;N;
FELKOWSKI Marcin;PL;Subaru Impreza N14;N4;AUTOMOBILKLUB POLSKI WRT;N;
MULKA Slawomir;PL;Subaru Impreza N14;N4;;N;
BRODZICKI Arek;PL;Ford Fiesta S1600;S1600;AUTOMOBILKLUB POLSKI WRT;N;
Bernatowicz Dawid;PL;Ford Fiesta S1600;S1600;Beskidy Virtual Rally Team;Y;
TRZESZCZKOWSKI Sebastian;PL;Peugeot 106 Rallye A5;A5;AUTOMOBILKLUB POLSKI WRT;Y;
JAROS Artur;PL;Lada Kalina R2;A6;Rookie Rally Team;Y;
UZDOWSKI Filip;PL;Ford Fiesta Mk.VI S2000;S2000;AUTOMOBILKLUB POLSKI WRT;N;
Grzegorz Berent;PL;Ford Fiesta Mk.VI S2000;S2000;Rookie Rally Team;N;
NAWLOKA Maciek;PL;Peugeot 106 Rallye A5;A5;RS Team;N;
czarnyolek;PL;Skoda Fabia S2000 evo2;S2000;;N;
JANIAK radek;PL;Lada Samara 1600;A6;Sudety VRT;Y;
slawo;PL;Ford Fiesta Mk.VI S2000;S2000;Team VRS;N;
CZARNY.ptak;PL;Skoda Fabia S2000 evo2;S2000;;N;
DELCZYK Bartosz;PL;Volkswagen Polo S1600;S1600;Sudety VRT;Y;
Marcin Majcher;PL;Ford Fiesta Mk.VI S2000;S2000;Millers Oils Rally Team;N;
CZERNIAK Arkadiusz;PL;Skoda Fabia S2000 evo2;S2000;AUTOMOBILKLUB POLSKI WRT;Y;
MATUSIK Pawel;PL;Lada Kalina R2;A6;Play-Max.pl Rally Team;Y;
ROJEK Radek;PL;Citroen C4 WRC 08;WRC;;N;
GORKA Michal;PL;Subaru Impreza N14 URT;N4;Sudety VRT;N;
WOWRY Mateusz;PL;Peugeot 106 Rallye A5;A5;Beskidy Virtual Rally Team;Y;
Zbyszek S;PL;Volkswagen Polo Mk.IV S2000;S2000;;N;
UNGEHEUER Michal;PL;Peugeot 106 Rallye A5;A5;Play-Max.pl Rally Team;N;
SOWA Slawomir;PL;Subaru Impreza N14;N4;Forum Subaru Virtual Rally Team;N;
